iter	CrossEntropy
0	0.6929191316
1	0.6927309819
2	0.6924981494
3	0.6922653157
4	0.6920195672
5	0.6917804634
6	0.6915242769
7	0.6913189815
8	0.6910632786
9	0.6908187436
10	0.6905666269
11	0.690321575
12	0.6900932252
13	0.6898873259
14	0.6896726414
15	0.6894606102
16	0.6892177952
17	0.6889891197
18	0.6887502176
19	0.6885231351
20	0.6882946093
21	0.688079957
22	0.6878456771
23	0.6876439618
24	0.6874407182
25	0.6872428882
26	0.6870159817
27	0.6868138888
28	0.6865963711
29	0.6863787127
30	0.6861445535
31	0.6859285146
32	0.6857061917
33	0.6854638352
34	0.6852282636
35	0.6850512376
36	0.6848228705
37	0.6846102239
38	0.6843808733
39	0.6841669558
40	0.6839268552
41	0.6837104055
42	0.6834763509
43	0.6832706777
44	0.6830621405
45	0.6828855088
46	0.6826642594
47	0.6824591867
48	0.6822801683
49	0.6820685655
50	0.6818526044
51	0.6816074011
52	0.6814458371
53	0.6812341299
54	0.6809917874
55	0.6807800112
56	0.6805989441
57	0.6804069515
58	0.6802161127
59	0.6799977255
60	0.6797859816
61	0.6795696015
62	0.6793341238
63	0.6791160103
64	0.6789060632
65	0.6786793778
66	0.6784704817
67	0.6782859672
68	0.6780807733
69	0.6778924385
70	0.6776597685
71	0.6774613079
72	0.6772597301
73	0.6770835987
74	0.6768880199
75	0.6766945428
76	0.6764962998
77	0.6763217481
78	0.6761145547
79	0.6759077501
80	0.6757143161
81	0.6754929649
82	0.6753089079
83	0.6751292905
84	0.6749640797
85	0.6747529064
86	0.6745600772
87	0.6743305055
88	0.6741257151
89	0.6739259246
90	0.6736943786
91	0.673489061
92	0.6732743563
93	0.6730868943
94	0.6729279619
95	0.672719957
96	0.6725146514
97	0.6723178274
98	0.6721252467
99	0.67190268
100	0.6717154208
101	0.6714949421
102	0.671319243
103	0.6711171182
104	0.6709321172
105	0.6707392865
106	0.6705459214
107	0.6703386552
108	0.6701404461
109	0.6699345492
110	0.6697605844
111	0.6695742274
112	0.6693550978
113	0.6691754532
114	0.6689666166
115	0.6687710356
116	0.6685611268
117	0.6683545754
118	0.6681946005
