iter	Passed	Remaining
0	53	5341904
1	59	2986690
2	65	2189249
3	71	1786581
4	77	1547583
5	83	1389402
6	89	1277033
7	95	1190343
8	101	1123238
9	106	1069468
10	112	1024556
11	118	986447
12	124	955784
13	130	929537
14	136	906785
15	141	885796
16	147	867429
17	153	851595
18	159	839598
19	166	832024
20	172	820916
21	178	810455
22	184	801486
23	190	792539
24	196	785037
25	202	777672
26	208	771387
27	214	764973
28	220	758903
29	226	754158
30	232	749656
31	238	744870
32	244	741300
33	250	737156
34	256	732800
35	262	728714
36	268	725115
37	274	721878
38	280	718574
39	286	715594
40	292	712788
41	298	710248
42	304	707744
43	311	706693
44	316	704118
45	323	701932
46	328	699304
47	334	697055
48	340	694851
49	346	692898
50	352	690712
51	358	688861
52	364	687031
53	370	685120
54	376	683603
55	382	681994
56	388	680400
57	393	678694
58	399	677502
59	405	676013
60	411	674625
61	417	673282
62	423	672074
63	429	670986
64	435	669599
65	441	668324
66	447	667113
67	453	665870
68	459	665213
69	465	664274
70	471	663297
71	477	662412
72	483	661371
73	489	660349
74	494	659409
75	500	658477
76	506	657642
77	512	656724
78	518	655762
79	524	654789
80	530	653941
81	535	652949
82	541	652102
83	547	651217
84	553	650436
85	559	649885
86	565	649130
87	571	648622
88	577	648086
89	583	647372
90	588	646654
91	594	646083
92	600	645418
93	606	644794
94	612	644250
95	618	643641
96	624	643026
97	630	642347
98	635	641748
99	641	641121
100	647	640516
101	653	639936
102	659	639453
103	665	639229
104	671	638846
105	677	638333
106	683	637796
107	689	637330
108	694	636799
109	700	636261
110	706	635845
111	712	635364
112	718	634928
113	724	634470
114	729	633989
115	735	633462
116	741	632971
117	747	632594
118	753	632158
119	759	631762
120	764	631357
121	770	631076
122	776	630611
123	782	630159
124	788	629762
125	793	629259
126	799	628910
127	805	628586
128	811	628262
129	817	627979
130	823	627660
131	829	627431
132	835	627158
133	841	626870
134	846	626447
135	852	626148
136	858	625876
137	864	625603
138	870	625262
139	876	624864
140	881	624500
141	887	624201
142	893	623832
143	899	623551
144	905	623275
145	911	623337
146	917	623165
147	923	622941
148	929	622839
149	935	622607
150	949	628041
151	957	628678
152	963	628682
153	969	628639
154	975	628585
155	981	628375
156	987	628188
157	993	627889
158	999	627657
159	1005	627419
160	1011	627234
161	1017	627034
162	1023	626828
163	1029	626614
164	1035	626381
165	1041	626194
166	1047	626031
167	1053	625969
168	1059	625771
169	1065	625621
170	1071	625385
171	1077	625163
172	1083	624960
