iter	MultiClass
0	1.608914176
1	1.60830902
2	1.607680727
3	1.607130825
4	1.606538023
5	1.605937781
6	1.605415305
7	1.604856127
8	1.604354533
9	1.603815617
10	1.603181576
11	1.602601896
12	1.602055511
13	1.60150437
14	1.600928873
15	1.600408804
16	1.599844133
17	1.599272402
18	1.598707376
19	1.598170908
20	1.59765283
21	1.597086795
22	1.596551659
23	1.596034299
24	1.59549556
25	1.595020903
26	1.59442729
27	1.593881885
28	1.593346329
29	1.592849127
30	1.59230061
31	1.59175322
32	1.591246686
33	1.590702379
34	1.59016078
35	1.589585323
36	1.589090965
37	1.588578435
38	1.588051912
39	1.58756225
40	1.587017721
41	1.586543315
42	1.586028348
43	1.585538674
44	1.58498782
45	1.584508135
46	1.583966719
47	1.583410491
48	1.582925256
49	1.582443841
50	1.581993418
51	1.581488295
52	1.580968103
53	1.580470468
54	1.579996685
55	1.579525004
56	1.579083224
57	1.57862543
58	1.578145433
59	1.577636671
60	1.577119417
61	1.576639473
62	1.576136933
63	1.575698358
64	1.575243281
65	1.574763786
66	1.574292241
67	1.573828956
68	1.573342847
69	1.57290228
70	1.572387038
71	1.571927041
72	1.57147839
73	1.571004088
74	1.570559564
75	1.570071383
76	1.569599442
77	1.569059425
78	1.568594691
79	1.568103557
80	1.567612464
81	1.567132367
82	1.566698053
83	1.566200378
84	1.565715251
85	1.565215107
86	1.56469727
87	1.564280776
88	1.563773106
89	1.563293729
90	1.562847517
91	1.562417975
92	1.561924708
93	1.56147665
94	1.561020461
95	1.560571362
96	1.56008905
97	1.559651378
98	1.559197692
99	1.55876819
100	1.55833541
101	1.557874748
102	1.557422596
103	1.556954218
104	1.556488921
105	1.55596438
106	1.555500073
107	1.555016715
108	1.554549475
109	1.55411203
110	1.553685258
111	1.553210726
112	1.552746617
113	1.552249944
114	1.551762762
115	1.551317313
116	1.550860865
117	1.550413715
118	1.549938882
119	1.54949283
120	1.549111171
121	1.548655147
122	1.548261317
123	1.547850604
124	1.547472897
125	1.547073964
126	1.546663852
127	1.546266021
128	1.545867642
129	1.545414919
130	1.544982637
131	1.544491079
132	1.544059633
133	1.543613308
134	1.543184598
135	1.542801668
136	1.542398515
137	1.542023167
138	1.541595062
139	1.541169174
