iter	Passed	Remaining
0	10	1066094
1	21	1073541
2	29	994553
3	39	977428
4	51	1025256
5	60	1003671
6	70	1000752
7	81	1022796
8	90	1002415
9	105	1056726
10	124	1135668
11	134	1122678
12	147	1133631
13	157	1123841
14	171	1146357
15	185	1160508
16	203	1199365
17	218	1211603
18	231	1215782
19	241	1205911
20	253	1208687
21	264	1203492
22	273	1188351
23	282	1178302
24	292	1171337
25	304	1172676
26	319	1182182
27	332	1188039
28	347	1196756
29	359	1199174
30	374	1206160
31	398	1244908
32	406	1232328
33	413	1215435
34	420	1200545
35	426	1185477
36	434	1173833
37	441	1160146
38	448	1150433
39	455	1139079
40	462	1127786
41	470	1118788
42	477	1109430
43	485	1102189
44	493	1095143
45	501	1088636
46	508	1080566
47	515	1074326
48	523	1068315
49	531	1061655
50	540	1058341
51	548	1053755
52	557	1051635
53	566	1047619
54	577	1049357
55	584	1043732
56	593	1040756
57	604	1041547
58	613	1039353
59	621	1034818
60	629	1030587
61	636	1026564
62	643	1021524
63	651	1017324
64	658	1012466
65	665	1007407
66	674	1005466
67	682	1002446
68	690	999795
69	697	995538
70	704	991427
71	711	988046
72	720	986333
73	728	983413
74	739	985902
75	748	983903
76	755	980209
77	763	978420
78	772	977509
79	780	974653
80	788	973250
81	795	969302
82	802	966562
83	810	964646
84	818	961599
85	825	958642
86	833	957616
87	841	955612
88	849	953690
89	856	951080
90	864	949296
91	871	945882
92	877	943003
93	885	940944
94	894	940409
95	904	940890
96	912	939742
97	919	937314
98	926	934941
99	933	932757
100	946	936432
101	953	933548
102	960	931433
103	967	929000
104	973	926605
105	982	925881
106	990	924644
107	998	923223
108	1005	921567
109	1013	920147
110	1019	917519
111	1027	915957
112	1033	913873
113	1046	917321
114	1055	916944
115	1064	916939
116	1074	917325
117	1081	915157
118	1088	913800
119	1096	912303
120	1102	910288
121	1109	908224
122	1116	906435
123	1124	905784
124	1135	907139
125	1143	906401
126	1150	904847
127	1158	903900
128	1165	902479
129	1172	901103
130	1180	899800
131	1187	898352
132	1197	898884
133	1204	898046
134	1214	898359
135	1221	897191
136	1228	895696
137	1235	894300
138	1247	895931
139	1254	894971
140	1262	894476
141	1270	893260
142	1277	891901
143	1284	890803
144	1292	890002
145	1299	888621
146	1307	887890
147	1316	888291
148	1324	887657
149	1332	887088
150	1340	886399
151	1349	886273
152	1357	886071
153	1366	885653
154	1372	884291
155	1379	882783
156	1386	881869
157	1394	881191
158	1402	880390
159	1412	881595
160	1419	880475
161	1427	879712
162	1439	881558
163	1447	881015
164	1454	879852
165	1462	879374
166	1470	879131
167	1477	878007
168	1487	878668
169	1495	878154
170	1504	878063
171	1512	878052
172	1520	877094
173	1527	876206
174	1534	875396
175	1543	875582
176	1551	874996
177	1558	874085
178	1566	873845
179	1574	873207
180	1582	872628
181	1589	872023
182	1598	871946
183	1606	871483
184	1614	871045
185	1623	871090
186	1630	870191
187	1637	869203
188	1645	868776
189	1652	868069
190	1659	867345
191	1666	866526
192	1673	865615
193	1681	865259
194	1689	864870
195	1696	864063
196	1702	862277
197	1709	861539
198	1716	860951
199	1723	860209
200	1731	859512
201	1739	859204
202	1746	858670
203	1753	857793
204	1760	857173
205	1768	856668
206	1776	856305
207	1784	856048
208	1791	855566
