iter	CrossEntropy
0	0.6931459924
1	0.6931434419
2	0.6931443566
3	0.6931416616
4	0.6931412284
5	0.6931378523
6	0.693137379
7	0.6931351165
8	0.6931335197
9	0.6931312095
10	0.6931299579
11	0.6931292786
12	0.6931277867
13	0.6931260056
14	0.693125091
15	0.693122632
16	0.6931217175
17	0.6931202254
18	0.693118974
19	0.6931171451
20	0.6931152196
21	0.6931140827
22	0.6931124942
23	0.6931106648
24	0.6931091646
25	0.6931075282
26	0.6931063861
27	0.6931048459
28	0.6931038831
29	0.6931019328
30	0.693101018
31	0.6930993334
32	0.6930978893
33	0.6930964938
34	0.693095146
35	0.6930941354
36	0.6930926027
37	0.6930914638
38	0.6930892577
39	0.6930884873
40	0.693086466
41	0.6930852142
42	0.6930837221
43	0.6930826164
44	0.6930815572
45	0.6930797279
46	0.6930784285
47	0.6930769842
48	0.6930759739
49	0.6930751149
