iter	Passed	Remaining
0	50	2495
1	53	1293
2	56	888
3	59	684
4	62	561
5	65	478
6	68	417
7	70	371
8	73	335
9	76	305
10	79	280
11	81	259
12	84	241
13	87	225
14	90	210
15	93	197
16	95	186
17	98	175
18	101	165
19	104	156
20	106	147
21	109	139
22	112	131
23	115	124
24	118	118
25	120	111
26	123	105
27	126	99
28	129	93
29	131	87
30	134	82
31	137	77
32	140	72
33	142	67
34	145	62
35	148	57
36	151	53
37	153	48
38	156	44
39	159	39
40	162	35
41	164	31
42	167	27
43	170	23
44	173	19
45	175	15
46	178	11
47	181	7
48	184	3
49	186	0
