iter	CrossEntropy
0	0.6930249102
1	0.6928881516
2	0.6927858144
3	0.6926573172
4	0.6925337604
5	0.6924082774
6	0.6922941624
7	0.6921290984
8	0.6919944653
9	0.6918984112
10	0.6917491923
11	0.6916410066
12	0.6915432206
13	0.6913886888
14	0.6912552235
15	0.6911029025
16	0.690998312
17	0.6908875485
18	0.6907413202
19	0.6905769509
20	0.6904512026
21	0.6903172553
22	0.6901708405
23	0.6900673185
24	0.6899200501
25	0.6898036189
26	0.6896404006
27	0.68949137
28	0.6893754313
29	0.6892415939
30	0.6891312811
31	0.689003292
32	0.6888759549
33	0.6887584616
34	0.6886316876
35	0.6885204709
36	0.6884209007
37	0.6883018695
38	0.6882137824
39	0.6880862672
40	0.6879312053
41	0.6878322544
42	0.6876865877
43	0.6875604422
44	0.6874637389
45	0.687351164
46	0.6872546252
47	0.6871420838
48	0.6869734052
49	0.6868488791
50	0.686743767
51	0.6866470265
52	0.6865293555
53	0.6864179981
54	0.6862772576
55	0.6861369295
56	0.6860092168
57	0.6859171989
58	0.6857769133
59	0.6856587487
60	0.6855480779
61	0.6854471593
62	0.6852948505
63	0.6852131741
64	0.6850864598
65	0.6850017281
66	0.6848580789
67	0.6847718094
68	0.6846357138
69	0.6845063117
70	0.6844126559
71	0.6843286999
72	0.6841931032
73	0.6840911815
74	0.6839929134
75	0.6838883978
76	0.6837678001
77	0.6836521266
78	0.6835038299
79	0.6834180472
80	0.6833416791
81	0.6832249037
82	0.6830810297
83	0.6829626956
84	0.6828596235
85	0.6827191963
86	0.6825557231
87	0.6823982457
88	0.6822704131
89	0.6821650827
90	0.6820604835
91	0.6819316739
92	0.6818296334
93	0.6817363904
94	0.6816312982
95	0.6815029916
96	0.6814039106
97	0.6812697279
98	0.681158073
99	0.6810163696
100	0.6808705457
101	0.6807597321
102	0.680630627
103	0.6804845048
104	0.6803679706
105	0.6802782678
106	0.6801613378
107	0.6800347635
108	0.6799129183
109	0.6798108323
110	0.6797003478
111	0.6795959388
112	0.6794532857
113	0.6793414436
114	0.6792681069
115	0.6791715141
116	0.6790648237
117	0.6789725566
118	0.6788672153
119	0.6787685533
120	0.678672785
121	0.6785408336
122	0.6784237973
123	0.6783197113
124	0.6781658527
125	0.6780594229
126	0.6779588638
127	0.6778170763
128	0.6777140891
129	0.677613924
130	0.6774727274
131	0.6773658925
132	0.6772558751
133	0.6771108952
134	0.6769999667
135	0.6768778901
136	0.6767538164
137	0.6766630532
138	0.6765332049
139	0.6764520586
140	0.676369271
141	0.6762756747
142	0.6761539033
143	0.6760655883
144	0.6759781928
145	0.6758531284
146	0.6757820417
147	0.6756906917
148	0.675575489
149	0.6754518471
150	0.6753537094
151	0.6752435283
152	0.6751626706
153	0.6750727267
154	0.6749864062
155	0.6748835228
156	0.6747909272
157	0.674726426
158	0.6746363584
159	0.6745382437
160	0.6744469475
161	0.6743388611
162	0.6742237148
163	0.6740994009
164	0.673979599
165	0.6738540831
166	0.6737845269
167	0.673701722
168	0.67359184
169	0.6735014999
170	0.6733633592
171	0.6732292267
172	0.6731531386
173	0.6730480587
174	0.6729146407
175	0.6728100216
176	0.6726923359
177	0.672587464
178	0.6724986097
179	0.6724140669
180	0.6723249649
181	0.6722288994
182	0.6720980214
183	0.671986578
184	0.6718805663
185	0.6717602295
186	0.6716733202
187	0.6715473578
188	0.6714424707
189	0.6713466053
190	0.6712641816
191	0.671169152
192	0.6710903451
193	0.6709786016
194	0.670871434
195	0.6707491094
196	0.6706468625
197	0.6705346223
198	0.6704240957
199	0.6702862148
200	0.670202869
201	0.6701301098
202	0.6700403425
203	0.669945642
204	0.669820296
205	0.669686898
206	0.6695898367
207	0.6694976927
208	0.669385948
209	0.6692841093
210	0.6692066851
211	0.6690899478
212	0.668995976
213	0.6689126397
214	0.6688328745
215	0.6687620685
216	0.6686726057
217	0.6685823175
218	0.668468571
219	0.6683530848
220	0.6682494037
221	0.6681432302
222	0.6680362341
223	0.6679328699
224	0.6678461129
225	0.6677670934
226	0.6676807649
227	0.6675721507
228	0.6674588156
229	0.6673759369
230	0.6672882503
231	0.6671943944
232	0.667078852
233	0.6669727334
234	0.6668616215
235	0.6667739433
236	0.666641764
237	0.6665137479
238	0.6664059441
239	0.6663216133
240	0.6662482857
241	0.6661562196
242	0.6660834469
243	0.6660006986
244	0.6658862127
245	0.665772067
246	0.6656743597
247	0.6655929887
248	0.6654871827
249	0.665410302
250	0.6652767649
251	0.6651758282
252	0.665100069
253	0.6649987143
254	0.664918166
255	0.664843548
256	0.6647657978
257	0.66465091
258	0.6645341912
259	0.6644743192
260	0.6643821571
261	0.6642513984
262	0.6641482149
263	0.6640736097
264	0.6639712537
265	0.6638599844
266	0.663743276
267	0.6636592146
268	0.6635975319
269	0.6634764363
270	0.6633656338
271	0.6632953995
272	0.6631939175
273	0.6630926887
274	0.6630099737
275	0.6629208088
276	0.662808088
277	0.6627238067
278	0.6626560903
279	0.6625883929
280	0.662499562
281	0.6624309825
282	0.6623471891
283	0.6622843653
284	0.662197692
285	0.662122194
286	0.6620241851
287	0.661948725
288	0.661866014
289	0.6618050318
290	0.6617203937
291	0.6615943915
292	0.6614734546
293	0.6614033655
294	0.6613221956
295	0.661232954
296	0.6611507258
297	0.6610925203
298	0.6609927742
299	0.6608899518
300	0.6608015602
301	0.6607101195
302	0.6606201613
303	0.6605545755
304	0.6604442816
305	0.6603768349
306	0.660299438
307	0.6602052034
308	0.6601072381
309	0.6600089121
310	0.6598837524
311	0.6597870106
312	0.6596663713
313	0.6595492831
314	0.6594461526
315	0.6593446712
316	0.6592789703
317	0.6591802574
318	0.6591185105
319	0.6590390972
320	0.6589479456
321	0.6588766933
322	0.6587903735
323	0.6586884639
324	0.6586214754
325	0.6585379541
326	0.6584466729
327	0.6583642332
328	0.6582865064
329	0.6582187488
330	0.6581286848
331	0.6580494406
332	0.6579462602
333	0.6578580225
334	0.6577845309
335	0.6577102561
336	0.6576289103
337	0.6575363457
338	0.657453475
339	0.6573424253
340	0.6572596295
341	0.6571895609
342	0.6570902522
343	0.6570145797
344	0.6569075775
345	0.6568042087
346	0.6567220345
347	0.6566569285
348	0.6565851776
349	0.6564931897
350	0.6563910491
351	0.6563142871
352	0.6562317655
353	0.6561731637
354	0.6561051415
355	0.6559999188
356	0.6559241787
357	0.6558580586
358	0.6557853362
359	0.6557144565
360	0.6556510723
361	0.6555794439
362	0.6555125868
363	0.6554212003
364	0.6553348735
365	0.6552765196
366	0.6552153993
367	0.6551404943
368	0.6550623331
369	0.6549919318
370	0.6548921913
371	0.6547859037
372	0.6546863127
373	0.6545910554
374	0.6544980559
375	0.654420325
376	0.6543542384
377	0.6542607916
378	0.6542041446
379	0.6541282025
380	0.6540282208
381	0.6539504848
382	0.6538694249
383	0.6537947605
384	0.6537206378
385	0.6536315429
386	0.6535562595
387	0.6534834263
388	0.6533774237
389	0.6532849945
390	0.6532045021
391	0.6531263089
392	0.6530180436
393	0.6529343456
394	0.6528409123
395	0.6527825105
396	0.6526855069
397	0.6526233143
398	0.6525332605
399	0.6524445683
400	0.6523398516
401	0.652255766
402	0.6522059606
403	0.6521464662
404	0.6520803401
405	0.6520043005
406	0.6519325432
407	0.6518507555
408	0.6517814753
409	0.6517363108
410	0.6516500223
411	0.6515525649
412	0.6515019037
413	0.6514238469
414	0.6513626651
415	0.651313232
416	0.6512347744
417	0.6511422421
418	0.6510409599
419	0.650984162
420	0.6508970208
421	0.6508259449
422	0.6507583002
423	0.6507049471
424	0.6506170009
425	0.6505510722
426	0.6504959328
427	0.6504180553
428	0.6503262003
429	0.6502463288
430	0.6501725474
431	0.6501076604
432	0.6500123894
433	0.64993264
434	0.6498547974
435	0.6497781565
436	0.6496923737
437	0.6496064735
438	0.6495282986
439	0.6494772594
440	0.6493905463
441	0.6493121681
442	0.6492162937
443	0.6491451458
444	0.649072799
445	0.6490164174
446	0.6489446986
447	0.6488746201
448	0.6488285833
449	0.6487474184
450	0.6486930468
451	0.6486071839
452	0.6485100128
453	0.6484566714
454	0.6483823267
455	0.6483105824
456	0.6482493535
457	0.6481734575
458	0.6481001354
459	0.6480350539
460	0.6479558835
461	0.6478540507
462	0.6477515518
463	0.6477006564
464	0.6476049148
465	0.6475355024
466	0.6474685112
467	0.6474187656
468	0.6473377517
469	0.6472549347
470	0.6471675142
471	0.6470905624
472	0.6470283901
473	0.646938641
474	0.6468524457
475	0.6467822125
476	0.6467098612
477	0.6466375136
478	0.6465917128
479	0.6465164508
480	0.6464551216
481	0.6463833933
482	0.6462944119
483	0.6462111148
484	0.6461324419
485	0.6460592013
486	0.6459976485
487	0.6459287233
488	0.6458604599
489	0.6457768931
490	0.6457036465
491	0.6456327609
492	0.645574056
493	0.645502504
494	0.6454326754
495	0.6453872803
496	0.6452955865
497	0.6452391892
498	0.6451312059
499	0.6450555598
500	0.6449839213
501	0.6448950473
502	0.6448149276
503	0.6447457411
504	0.6446861605
505	0.644608241
506	0.6445549944
507	0.6444767883
508	0.6443905826
509	0.6443375129
510	0.6442460026
511	0.6441603505
512	0.6440916116
513	0.6440171787
514	0.6439616381
515	0.6439007073
516	0.6438297664
517	0.643755858
518	0.6436873092
519	0.6436209108
520	0.6435682492
521	0.6435012282
522	0.6434306772
523	0.6433588353
524	0.6433005854
525	0.6432429995
526	0.6431935468
527	0.6431127459
528	0.6430478631
529	0.6429820407
530	0.642922505
531	0.6428455951
532	0.6427678028
533	0.6426921198
534	0.6426310933
535	0.6425696247
536	0.6424770174
537	0.6424293398
538	0.642349841
539	0.6422815124
540	0.6421919951
541	0.6421234509
542	0.6420506782
543	0.6419726349
544	0.6418996304
545	0.6418364966
546	0.6417747775
547	0.6416902282
548	0.6416455274
549	0.6415533828
550	0.6414813721
551	0.6414302098
552	0.6413451318
553	0.6412656894
554	0.6412004557
555	0.6411458107
556	0.6410834055
557	0.6410087626
558	0.6409348747
559	0.6408412139
560	0.640798364
561	0.6407433197
562	0.640679964
563	0.6406072067
564	0.6405245769
565	0.6404331236
566	0.6403781469
567	0.6402926601
568	0.6402184161
569	0.6401366329
570	0.6400938477
571	0.6400192994
572	0.6399558096
573	0.6398758095
574	0.6398078045
575	0.6397465573
576	0.6396917281
577	0.6396473046
578	0.6395767444
579	0.6395196728
580	0.6394523426
581	0.6393976605
582	0.6393357784
583	0.6392914255
584	0.6392101507
585	0.6391367051
586	0.6390793269
587	0.6390448341
588	0.6389733581
589	0.6388984788
590	0.6388539133
591	0.6387885874
592	0.6387261339
593	0.638666695
594	0.6386184074
595	0.6385505745
596	0.6384771171
597	0.6383871829
598	0.638324944
599	0.6382570459
600	0.6381695461
601	0.6380993
602	0.6380287603
603	0.6379532268
604	0.6378815451
605	0.6378303674
606	0.6377823253
607	0.6377333058
608	0.6376805495
609	0.6376263626
610	0.6375781939
611	0.6375145127
612	0.6374444365
613	0.6373704804
614	0.6373018789
615	0.6372444017
616	0.6371891899
617	0.637098376
618	0.6370188311
619	0.6369708678
620	0.6368849721
621	0.6368141507
622	0.6367505163
623	0.6367099853
624	0.6366585628
625	0.6365494298
626	0.6364945272
627	0.636425525
628	0.6363498015
629	0.6362898057
630	0.6362280542
631	0.6361731206
632	0.6361181361
633	0.6360531658
634	0.6360030064
635	0.6359049217
636	0.6358373586
637	0.6357630184
638	0.63569079
639	0.6356254159
640	0.635557429
641	0.6354808219
642	0.6354279939
643	0.6353653785
644	0.6353123603
645	0.6352576221
646	0.6351852964
647	0.6351200798
648	0.6350569981
649	0.6349846052
650	0.6349167969
651	0.6348575021
652	0.6347791806
653	0.6347061509
654	0.6346344314
655	0.6345832341
656	0.6345154586
657	0.6344376969
658	0.6343959282
659	0.6343507335
660	0.6342885081
661	0.63420193
662	0.6341467309
663	0.634086749
664	0.6340182237
665	0.6339614543
666	0.6338991638
667	0.6338245719
668	0.6337672516
669	0.6337088353
670	0.6336375692
671	0.6335927195
672	0.6335376699
673	0.6334921689
674	0.6334346796
675	0.6333709059
676	0.6333017323
677	0.6332443033
678	0.6331949744
679	0.6331308304
680	0.6330784791
681	0.6330113171
682	0.632946308
683	0.6328807719
684	0.6328114603
685	0.6327345388
686	0.6326704907
687	0.6325893429
688	0.6325351313
689	0.6324736458
690	0.6324146459
691	0.632373122
692	0.6323033968
693	0.632239057
694	0.632185836
695	0.632112038
696	0.6320522959
697	0.631973071
698	0.6319179136
699	0.6318646472
700	0.6317962257
701	0.6317400108
702	0.6316793444
703	0.6316182417
704	0.6315602033
705	0.6314920107
706	0.6314427996
707	0.6313924579
708	0.631315521
709	0.6312416928
710	0.6311858513
711	0.6311357565
712	0.6310645445
713	0.6310218071
714	0.6309564448
715	0.6309134694
716	0.6308502584
717	0.6307980666
718	0.6307195668
719	0.6306542646
720	0.6306018172
721	0.6305556504
722	0.630473269
723	0.6304043465
724	0.6303546496
725	0.6302907434
726	0.6302386291
727	0.6301728197
728	0.6301248007
729	0.6300773296
730	0.6299903286
731	0.6299242611
732	0.6298834921
733	0.6298303787
734	0.6297497579
735	0.6296995896
736	0.6296399938
737	0.629572476
738	0.6295069106
739	0.6294651679
740	0.6294088281
741	0.6293430618
742	0.6292940096
743	0.6292453564
744	0.6292099808
745	0.6291553333
746	0.6291104194
747	0.6290507319
748	0.6290042954
749	0.6289547677
750	0.6289032105
751	0.6288446953
752	0.6287773546
753	0.6287139095
754	0.6286629454
755	0.6286079888
756	0.6285465966
757	0.6284890992
758	0.6284361683
759	0.6283517242
760	0.6282994905
761	0.6282428146
762	0.6281917758
763	0.6281270058
764	0.628073767
765	0.6280295678
766	0.627984543
767	0.6279095556
768	0.6278519915
769	0.6277829678
770	0.627717225
771	0.6276639837
772	0.6276241388
773	0.6275831639
774	0.6275192132
775	0.6274568601
776	0.6273854762
777	0.6273261874
778	0.6272598472
779	0.6272211329
780	0.627181426
781	0.6271485596
782	0.6270887624
783	0.6270441864
784	0.626982245
785	0.6269176471
786	0.6268722864
787	0.626832399
788	0.6267894842
789	0.6267262199
790	0.6266507046
791	0.6266102036
792	0.6265499876
793	0.6264596123
794	0.6264056174
795	0.626359172
796	0.6262936757
797	0.626254953
798	0.6262153577
799	0.6261527146
800	0.6260908378
801	0.6260020247
802	0.6259325202
803	0.6258712925
804	0.6257891744
805	0.6257503934
806	0.6256998475
807	0.6256412527
808	0.6255804118
809	0.6255254065
810	0.6254499679
811	0.6253840069
812	0.6253475063
813	0.6253062059
814	0.6252392734
815	0.6251760002
816	0.6251158033
817	0.6250686881
818	0.6250232047
819	0.6249798265
820	0.6249336072
821	0.6248626609
822	0.6247916387
823	0.6247511788
824	0.6247001797
825	0.6246318681
826	0.6245812381
827	0.6245330587
828	0.6244986326
829	0.624438471
830	0.6243772296
831	0.6243061853
832	0.6242576904
833	0.6242018767
834	0.624160939
835	0.6240923163
836	0.6240503191
837	0.6240119661
838	0.6239657633
839	0.6239090122
840	0.6238595357
841	0.6237852192
842	0.6237422927
843	0.623693171
844	0.6236306082
845	0.623569436
846	0.6235227837
847	0.6234646521
848	0.6233970867
849	0.6233412182
850	0.6232791575
851	0.6232249789
852	0.6231693785
853	0.6231148021
854	0.6230609533
855	0.6230248847
856	0.6229743124
857	0.6229021938
858	0.6228656295
859	0.6228004845
860	0.6227301444
861	0.6226351506
862	0.6225813675
863	0.6225393184
864	0.622484899
865	0.6224426133
866	0.6223895634
867	0.6223412956
868	0.6222661881
869	0.6222265437
870	0.6221822057
871	0.6221329034
872	0.6220845436
873	0.6220328812
874	0.6219982356
875	0.6219596834
876	0.6219117707
877	0.6218641863
878	0.6218147155
879	0.6217764237
880	0.6217315475
881	0.6217027758
882	0.6216631309
883	0.6216044528
884	0.6215500188
885	0.6214517564
886	0.6214182929
887	0.6213679762
888	0.6213051858
889	0.6212700625
890	0.6212300017
891	0.6211846459
892	0.6211249879
893	0.6210807494
894	0.6210305726
895	0.620980825
896	0.6209436106
897	0.62089017
898	0.6208221576
899	0.6207887443
900	0.6207257398
901	0.6206830905
902	0.6206291726
903	0.620580955
904	0.6205337581
905	0.620478175
906	0.620404103
907	0.6203401104
908	0.6202893186
909	0.6202392901
910	0.6201895263
