iter	Passed	Remaining
0	6	617208
1	11	583875
2	17	569240
3	22	563646
4	27	558925
5	33	556646
6	38	554062
7	44	551006
8	49	548837
9	54	546472
10	61	562168
11	67	560087
12	72	557020
13	77	555547
14	83	553939
15	88	551752
16	94	553543
17	99	552100
18	104	550805
19	110	550081
20	115	549401
21	121	552063
22	126	551129
23	132	549957
24	137	548923
25	142	547993
26	147	547511
27	153	546702
28	158	546430
29	163	546007
30	169	545647
31	176	552031
32	181	551330
33	187	550575
34	192	550138
35	197	549242
36	202	548344
37	208	548176
38	213	547581
39	218	546903
40	224	546378
41	229	545937
42	234	545525
43	239	545138
44	245	544410
45	250	544697
46	256	544935
47	261	545161
48	267	544893
49	272	544466
50	277	543992
51	282	543937
52	288	543617
53	293	543408
54	298	543114
55	304	542712
56	309	542284
57	314	542167
58	320	542580
59	326	543063
60	331	543345
61	341	550913
62	347	551213
63	353	551445
64	358	551724
65	364	551872
66	370	552079
67	375	552151
68	381	552291
69	386	552452
70	392	552757
71	398	552927
72	403	553015
73	409	553204
74	415	553351
75	421	554121
76	427	554340
77	432	554401
78	438	554572
79	444	554733
80	449	554903
81	455	554909
82	461	555070
83	466	555102
84	472	555265
85	477	555259
86	483	555383
87	489	555448
88	494	555575
89	500	555728
90	506	555811
91	511	555826
92	517	555841
93	523	555898
94	528	556022
95	534	556177
96	540	556331
97	545	556445
98	551	556488
99	557	556517
100	562	556597
101	568	556868
102	574	556909
103	579	556992
104	585	557018
105	591	557091
106	596	557173
107	602	557240
108	608	557377
109	613	557458
110	619	557668
111	625	557803
112	631	557905
113	636	557974
114	642	558178
115	648	558128
116	653	558243
117	659	558355
118	665	558445
119	670	558470
120	676	558591
121	682	558709
122	688	558824
123	694	559100
124	699	559127
125	705	559171
126	711	559219
127	716	559326
128	722	559385
129	728	559458
130	734	559829
131	740	559894
132	745	559945
133	751	560140
134	757	560265
135	763	560414
136	768	560458
137	774	560454
138	780	560450
139	785	560496
140	791	560505
141	796	560462
142	802	560486
143	808	560488
144	814	560603
145	821	561646
146	826	561675
147	832	561745
148	838	561827
149	844	561914
150	849	561953
151	855	562091
152	861	562094
153	866	562099
154	872	562157
155	878	562188
156	884	562292
157	889	562284
158	895	562364
159	901	562348
160	906	562346
161	912	562323
162	918	562336
163	923	562398
164	929	562376
165	935	562405
166	940	562387
167	946	562445
168	952	562474
169	967	568321
170	973	568389
171	979	568344
172	985	568488
173	990	568444
174	996	568433
175	1002	568380
176	1007	568325
177	1013	568257
178	1018	568247
179	1024	568196
180	1030	568176
181	1035	568145
182	1041	568153
183	1047	568129
184	1052	568107
185	1058	568112
186	1064	568086
187	1069	568060
188	1075	568027
189	1081	567988
190	1086	567944
191	1092	567920
192	1098	567894
193	1104	568054
194	1109	568020
195	1115	568059
196	1121	568129
197	1127	568091
198	1132	568075
199	1138	568094
200	1144	568076
201	1150	568439
202	1156	568383
203	1161	568399
204	1167	568411
205	1173	568441
206	1179	568475
207	1184	568464
208	1190	568516
209	1196	568508
210	1201	568460
211	1207	568467
212	1213	568446
213	1219	568456
214	1224	568466
215	1230	568423
216	1236	568422
217	1241	568335
218	1247	568280
219	1253	568306
220	1258	568241
221	1264	568228
222	1269	568222
223	1275	568156
224	1281	568135
225	1286	568097
226	1292	568120
227	1298	568062
228	1303	568071
229	1309	568070
230	1315	568062
231	1324	569463
232	1330	569490
233	1335	569481
234	1341	569679
235	1347	569659
236	1353	569676
237	1359	569673
238	1364	569665
239	1370	569626
240	1376	569593
241	1381	569568
242	1387	569539
243	1392	569489
244	1398	569449
245	1404	569393
246	1409	569358
247	1415	569307
248	1421	569280
249	1426	569224
250	1432	569174
251	1437	569118
252	1443	569107
253	1449	569096
254	1454	569073
255	1460	569059
256	1466	569026
257	1471	569002
258	1477	569000
259	1483	568949
260	1488	568937
261	1494	568921
262	1500	568931
263	1505	568929
264	1511	568936
265	1517	568951
266	1523	569007
267	1529	569004
268	1534	568953
269	1540	568919
270	1545	568877
271	1551	568851
272	1557	568847
273	1562	568808
274	1568	568799
275	1574	568772
276	1580	568908
277	1585	568893
278	1591	568865
279	1597	568876
280	1602	568850
281	1608	568812
282	1614	568763
283	1619	568743
284	1625	568701
285	1630	568644
286	1636	568651
287	1642	568584
288	1647	568546
289	1653	568496
290	1659	568478
291	1664	568535
292	1670	568549
293	1676	568674
294	1682	568669
295	1688	568660
296	1693	568647
297	1699	568690
298	1705	568681
299	1711	568721
300	1717	568718
301	1722	568682
302	1728	568658
303	1733	568652
304	1739	568617
305	1745	568599
306	1755	570093
307	1761	570169
308	1767	570165
309	1772	570143
310	1779	570342
311	1784	570318
312	1790	570315
313	1796	570348
314	1802	570402
315	1808	570389
316	1813	570351
317	1819	570336
318	1825	570286
319	1830	570234
320	1836	570264
321	1842	570216
322	1847	570199
323	1853	570168
324	1859	570146
325	1864	570139
326	1870	570103
327	1875	570061
328	1881	570038
329	1887	569985
330	1892	569960
331	1898	569904
332	1903	569863
333	1909	569799
334	1915	569756
335	1920	569735
336	1926	569709
337	1931	569651
338	1937	569670
339	1943	569681
340	1949	569688
341	1973	575029
342	1979	575270
343	1986	575349
344	1991	575319
345	1997	575287
346	2003	575263
347	2008	575250
348	2014	575196
349	2020	575156
350	2025	575107
351	2031	575056
352	2036	574996
353	2042	574941
354	2048	574876
355	2056	575616
356	2062	575585
357	2066	575183
358	2072	575123
359	2078	575158
360	2083	575100
361	2089	575086
362	2095	575050
363	2100	575014
364	2106	574984
365	2111	574928
366	2117	574864
367	2123	574805
368	2128	574797
369	2134	574788
370	2140	574752
371	2146	574736
372	2151	574692
373	2157	574699
374	2163	574649
375	2168	574608
376	2174	574562
377	2180	574552
378	2185	574571
379	2191	574553
380	2197	574532
381	2202	574479
382	2208	574437
383	2214	574416
384	2219	574354
385	2225	574324
386	2231	574395
387	2237	574360
388	2242	574315
389	2248	574278
390	2253	574215
391	2259	574165
392	2265	574132
393	2270	574086
394	2276	574051
395	2282	573997
396	2287	573973
397	2293	573947
398	2299	573896
399	2304	573849
400	2310	573817
401	2315	573791
402	2321	573740
403	2327	573706
404	2332	573657
405	2338	573624
406	2343	573562
407	2349	573504
408	2355	573477
409	2360	573424
410	2366	573397
411	2372	573370
412	2377	573332
413	2383	573301
414	2389	573322
415	2394	573268
416	2400	573243
417	2406	573195
418	2411	573176
419	2417	573135
420	2423	573122
421	2428	573074
422	2434	573046
423	2439	573005
424	2445	572987
425	2451	572931
426	2456	572883
427	2462	572844
428	2467	572821
429	2473	572794
430	2479	572773
431	2484	572711
432	2490	572681
433	2496	572649
434	2501	572637
435	2507	572627
436	2513	572611
437	2518	572576
438	2524	572557
439	2530	572511
440	2535	572498
441	2541	572482
442	2547	572467
443	2552	572436
444	2558	572408
445	2564	572394
446	2570	572397
447	2575	572372
448	2581	572355
449	2587	572310
450	2592	572248
451	2598	572202
452	2603	572172
453	2609	572137
454	2614	572096
455	2620	572055
456	2626	572019
457	2631	572022
458	2637	572004
459	2643	571964
460	2648	571937
461	2654	571909
462	2660	571899
463	2665	571856
464	2671	571838
465	2677	571788
466	2682	571785
467	2688	571804
468	2694	571766
469	2699	571761
470	2705	571740
471	2711	571704
